1 -nan -nan -nan -1 1
2 -nan -nan -nan -4 1
3 0.000000 0.000000 0.000000 0 0
4 0.000000 0.000000 0.000000 0 0
5 0.000000 0.000000 0.000000 0 0
6 0.000000 0.000000 0.000000 0 0
7 0.000000 0.000000 0.000000 0 0
8 0.000000 0.000000 0.000000 0 0
9 0.000000 0.000000 0.000000 0 0
10 0.000000 0.000000 0.000000 0 0
11 0.000000 0.000000 0.000000 0 0
12 0.000000 0.000000 0.000000 0 0
13 0.000000 0.000000 0.000000 0 0
14 0.000000 0.000000 0.000000 0 0
15 0.000000 0.000000 0.000000 0 0
16 0.000000 0.000000 0.000000 0 0
17 0.000000 0.000000 0.000000 0 0
18 -9.375000 -9.770285 -8.979715 -9 -9
19 -10.810811 -11.665481 -9.956141 -10 -10
20 0.000000 0.000000 0.000000 0 0
21 -2.439024 -2.901797 -1.976252 -2 -2
22 0.000000 0.000000 0.000000 0 0
23 -6.521739 -7.071700 -5.971778 -6 -6
24 0.000000 0.000000 0.000000 0 0
25 0.000000 0.000000 0.000000 0 0
26 0.000000 0.000000 0.000000 0 0
27 0.000000 0.000000 0.000000 0 0
28 -1.315789 -1.648661 -0.982918 -1 -1
29 -5.633803 -6.301890 -4.965716 -5 -5
30 0.000000 0.000000 0.000000 0 0
31 -4.723870 -6.322521 -3.125218 -4 -9
32 -21.518988 -22.066049 -20.971927 -21 -21
33 -4.109589 -4.225106 -3.994072 -4 -4
34 -7.407407 -7.836852 -6.977962 -7 -7
35 -9.302325 -9.621004 -8.983646 -9 -9
36 -1.020408 -1.041920 -0.998896 -1 -1
37 0.000000 0.000000 0.000000 0 0
38 -1.075269 -1.154609 -0.995929 -1 -1
39 -7.852247 -13.093782 -2.610711 -3 -13
40 0.000000 0.000000 0.000000 0 0
41 -9.900990 -10.850718 -8.951263 -9 -9
42 -9.756098 -10.553095 -8.959101 -9 -9
43 -11.924575 -18.639031 -5.210120 -4 -17
44 -13.008130 -13.016700 -12.999560 -13 -13
45 -8.673514 -10.243694 -7.103334 -6 -9
46 0.000000 0.000000 0.000000 0 0
47 -7.507507 -9.682508 -5.332507 -5 -9
48 -4.414763 -5.943684 -2.885842 -3 -6
49 0.000000 0.000000 0.000000 0 0
50 -8.743900 -9.801700 -7.686100 -8 -11
51 -1.744186 -2.528627 -0.959745 -1 -1
52 -3.667823 -6.357952 -0.977693 -2 -10
53 -2.840237 -7.190162 1.509689 0 -9
54 -6.885428 -12.133072 -1.637785 -2 -12
55 -7.998700 -13.694601 -2.302799 -1 -12
56 -3.911757 -10.609392 2.785879 0 -16
57 -14.527802 -18.622473 -10.433131 -7 -17
58 -11.201044 -13.966238 -8.435849 -7 -14
59 -13.505594 -16.946645 -10.064544 -9 -16
60 -11.408019 -17.420015 -5.396023 0 -16
61 -20.596485 -25.347766 -15.845204 -13 -25
62 -10.369951 -18.211214 -2.528688 -3 -19
63 -8.841199 -16.820212 -0.862187 0 -19
64 -7.580096 -14.000937 -1.159256 0 -21
65 -13.824784 -23.367406 -4.282161 -2 -25
66 -12.819742 -20.398095 -5.241390 -4 -23
67 -9.078698 -15.050915 -3.106482 -1 -17
68 -10.042860 -16.432495 -3.653224 -1 -20
69 -8.392000 -16.078588 -0.705413 0 -19
70 -15.730561 -19.111489 -12.349633 -7 -20
71 -17.601214 -25.680077 -9.522352 -6 -29
72 -12.934549 -23.634437 -2.234662 -2 -30
73 -13.086290 -18.886336 -7.286245 -4 -19
74 -12.380380 -16.693756 -8.067004 -7 -16
75 -6.544039 -11.631712 -1.456366 0 -15
76 -11.324111 -19.748274 -2.899948 0 -21
77 -9.740851 -14.724845 -4.756857 -1 -17
78 -10.316484 -15.800142 -4.832826 0 -20
79 -11.206807 -19.996036 -2.417578 0 -26
80 -11.605423 -18.463052 -4.747794 -2 -25
81 -10.987237 -16.739999 -5.234475 0 -20
82 -10.621076 -15.911080 -5.331071 -2 -17
83 -12.068985 -19.953297 -4.184672 0 -24
84 -12.359093 -16.917451 -7.800735 -1 -17
85 -13.616855 -23.544952 -3.688758 0 -30
86 -11.717020 -19.507848 -3.926191 0 -24
87 -14.187294 -20.637742 -7.736845 -3 -25
88 -12.167743 -18.058299 -6.277187 0 -18
89 -10.667995 -18.749457 -2.586533 0 -24
90 -13.023425 -19.480460 -6.566390 -4 -21
91 -11.919645 -22.649981 -1.189309 0 -36
92 -12.471297 -19.336841 -5.605754 -3 -24
93 -15.367813 -20.893754 -9.841873 -10 -25
94 -13.225160 -22.450471 -3.999848 0 -31
95 -10.247339 -17.701692 -2.792985 0 -26
96 -12.592469 -21.568612 -3.616326 0 -24
97 -12.965168 -17.470274 -8.460062 -4 -17
98 -12.974846 -17.778831 -8.170860 -6 -21
99 -16.371378 -23.936811 -8.805945 -6 -27
100 -14.860729 -21.380125 -8.341333 -5 -23
