1.5 -nan -nan -nan -4 1
3.500000 0.000000 0.000000 0.000000 0 0
5.500000 0.000000 0.000000 0.000000 0 0
7.500000 0.000000 0.000000 0.000000 0 0
9.500000 0.000000 0.000000 0.000000 0 0
11.500000 0.000000 0.000000 0.000000 0 0
13.500000 0.000000 0.000000 0.000000 0 0
15.500000 0.000000 0.000000 0.000000 0 0
17.500000 0.000000 0.000000 0.000000 0 0
19.500000 0.000000 0.000000 0.000000 0 0
21.500000 0.000000 0.000000 0.000000 0 0
23.500000 -1.276596 -2.312542 -0.240649 0 -2
25.500000 0.000000 0.000000 0.000000 0 0
27.500000 0.000000 0.000000 0.000000 0 0
29.500000 0.000000 0.000000 0.000000 0 0
31.500000 0.000000 0.000000 0.000000 0 0
33.500000 0.000000 0.000000 0.000000 0 0
35.500000 -7.777778 -8.597627 -6.957928 -7 -7
37.500000 -0.366972 -0.753795 0.019850 0 0
39.500000 -1.636364 -2.766955 -0.505772 0 -2
41.500000 0.000000 0.000000 0.000000 0 0
43.500000 -3.875969 -4.799321 -2.952617 -3 -3
45.500000 -1.548387 -3.140511 0.043737 0 -3
47.500000 -1.478873 -3.433290 0.475544 0 -4
49.500000 -2.350907 -3.190007 -1.511807 -1 -2
51.500000 -4.163051 -8.129465 -0.196637 0 -8
53.500000 -3.704259 -7.755792 0.347274 0 -9
55.500000 -1.925134 -4.179921 0.329653 0 -5
57.500000 -3.756662 -6.796376 -0.716948 0 -8
59.500000 -2.330246 -4.351002 -0.309489 0 -6
61.500000 -3.819611 -6.865948 -0.773274 0 -7
63.500000 -5.553757 -10.305061 -0.802454 0 -13
65.500000 -2.341698 -4.772235 0.088838 0 -7
67.500000 -4.218476 -7.727008 -0.709944 0 -8
69.500000 -3.844354 -7.630250 -0.058458 0 -11
71.500000 -4.131947 -7.813217 -0.450676 0 -8
73.500000 -5.575682 -11.221330 0.069965 0 -13
75.500000 -6.080523 -10.779330 -1.381717 0 -13
77.500000 -4.537365 -8.994729 -0.080000 0 -13
79.500000 -2.193403 -4.855083 0.468276 0 -7
81.500000 -2.097244 -4.773965 0.579478 0 -7
83.500000 -7.019838 -10.550067 -3.489609 -1 -12
85.500000 -4.557610 -8.485839 -0.629381 0 -10
87.500000 -6.700605 -12.093037 -1.308174 0 -19
89.500000 -6.599973 -11.235581 -1.964366 0 -15
91.500000 -7.761560 -12.669077 -2.854043 0 -16
93.500000 -8.809921 -12.087796 -5.532046 -5 -15
95.500000 -4.998816 -9.280406 -0.717225 0 -11
97.500000 -8.393324 -12.684923 -4.101725 0 -15
99.500000 -4.641071 -7.759929 -1.522214 0 -8
